type,section,content,source_url,date_extracted
presentation,main_content,"Présentation Créée en 2008, l'Ecole Nationale des Sciences Appliquées d'Al Hoceima (ENSAH) est un établissement public d'enseignement supérieur relevant de l'université Abdelmalek Essaadi. Sa création s'inscrit dans l'optique de favoriser la formation des ingénieurs d'Etat hautement qualifiés dans les spécialités les plus ouvertes et susceptibles de connaître d'importants développements au sein du tissu socio-économique régional et national. Le positionnement de l'Ecole contribuera à lui conférer une dimension euro-méditerranéenne et à répondre aux besoins régionaux et nationaux en matière de formation en ingénierie. L'Ecole Nationale des Sciences Appliquées Al-Hoceima dispense des formations de deux années préparatoires et trois années de spécialités dans les domaines suivants : Génie Informatique ; Génie Civil ; Génie de l'eau et de l'Environnement ; Génie énergétique et énergies renouvelables ; Génie Mécanique ; Ingénierie des données ; Transformation Digitale et Intelligence Artificielle Etalée sur une superficie de 5.700 m2, l'ENSA d'Al Hoceima est de nature à doter cette zone géographique d'un pôle scientifique à travers la création d'un noyau universitaire, appuyer le secteur de l'enseignement supérieur technique et promouvoir la formation professionnelle. D'une capacité d'accueil de plus de 500 étudiants, l'ENSA comprend : Deux amphithéâtres ; des salles de cours et des travaux pratiques ; des laboratoires ; une bibliothèque ; des terrains de sports et des vestiaires ; une cafétéria ; une résidence universitaire L'Ecole Nationale des Sciences Appliquées d'Al Hoceima comprend une résidence universitaire d'une capacité d'accueil de 500 lits pour le logement des étudiants et étudiantes.",https://ensah.ma/public/presentation.php,2025-01-18
contact,contact_info,"DÉTAILS DU CONTACT Ecole Nationale des Sciences Appliquées Al Hoceima BP 03, Ajdir Al-Hoceima Tel: +212(0) 539 80 57 12 Fax: +212(0) 539 80 57 13",https://ensah.ma/public/presentation.php,2025-01-18
statistics,statistics,Statistics: 55 Enseignants Chercheurs 16 Filières 1.290 Étudiants 11 Centres De Recherche 17 Natonalités 21 Clubs Étudiants 3 Bâtiments 12.350 M² De Locaux,https://www.uae.ac.ma/etablissements/ensah,2025-01-18
